company,domain,why_fit,fit_score,industry,size_estimate,signal,source_url,status
Docket,docketqa.com,"X25 QA-AI with a strong dev/QA audience posting about flaky tests; founder ex-Stripe/Brex",5,"B2B AI - AI web testing/QA","Seed; YC X25","Vision-first agents self-heal tests; active QA dev community",https://docketqa.com,qualified
Asteroid,asteroid.ai,"W25 browser-agent platform; active AI-agent builder audience (HN, r/AI_Agents)",5,"B2B AI - autonomous browser agents","Seed; YC W25","Browser 'workforce' for ops with guardrails",https://asteroid.ai,qualified
Confident AI,confident-ai.com,"W25 LLM-eval; DeepEval ~10k GitHub stars = large engaged AI-eng audience",5,"B2B AI - LLM eval/observability","Seed; YC W25","Creator of open-source DeepEval; strong dev following",https://confident-ai.com,qualified
Kernel,kernel.sh,"S25 browser infra for AI agents; $22M Accel; agent-builder audience",5,"B2B AI - browser infra for agents","Seed/A; YC S25","Open-source browsers-as-a-service; raised $22M Oct 2025",https://kernel.sh,qualified
Jazzberry,jazzberry.ai,"X25 AI bug-finder; dev audience on HN/Product Hunt/r/programming",4,"B2B AI - AI code review","Seed; YC X25","Runs your code in a microVM to prove real bugs in PRs",https://jazzberry.ai,qualified
TrainLoop,trainloop.ai,"W25 RL fine-tuning; ML/LLM-eng audience (r/MachineLearning, r/LocalLLaMA)",4,"B2B AI - LLM fine-tuning","Seed; YC W25","RL to fix unreliable LLM outputs in production",https://trainloop.ai,qualified
Lemma,uselemma.ai,"F25 AI-agent monitoring; LLMOps audience (r/AI_Agents, r/mlops)",4,"B2B AI - agent observability","Seed; YC F25","Catches silent agent degradation; deploy-to-improve loop",https://uselemma.ai,qualified
Axal,axal.ai,"W25 AI workers for manufacturing/distribution; founder posts regularly",4,"B2B AI - ops/ERP automation","Seed; YC W25","Order processing 2 min vs 45; concrete ROI; active founder",https://axal.ai,qualified
Fira,firaresearch.com,"W25 agentic financial-research; FinTwit/analyst audience",4,"B2B AI - financial research","Seed; YC W25","Source-cited research over filings for investment firms",https://firaresearch.com,qualified
Flowtel,flowtel.ai,"W25 AI voice agents for hotels; audience = hotel ops (less of an online community) - lower fit",3,"B2B AI - voice agents (hospitality)","Seed; YC W25","24/7 AI front desk; books rooms automatically",https://flowtel.ai,qualified
Operative,operative.sh,"X25 browser-agent QA for AI code; FLAG: appears renamed/pivoted to 'Refresh' - verify before contact",3,"B2B AI - QA for AI-written code","Seed; YC X25","Tests a coding agent's changes in a real browser (brand in flux)",https://operative.sh,qualified
FuseAI,tryfuse.ai,"EXCLUDE: W25 AI-native OUTBOUND platform - same space as our offer (competitor-adjacent), not a buyer",1,"B2B AI - outbound sales automation","Seed; YC W25","Agentic outbound stack (they ARE a list/outreach tool)",https://tryfuse.ai,do_not_contact
